Total records = 31
First birth year = 1492
Last death year = 2018
Years of life span analysis = 527


Finding max year and max freq
1492	1
1493	1
1494	1
1495	1
1496	1
1497	1
1498	1
1499	1
1500	1
1501	1
1502	1
1503	1
1504	1
1505	1
1506	1
1507	1
1508	1
1509	1
1510	1
1511	1
1512	1
1513	1
1514	1
1515	1
1516	1
1517	1
1518	1
1519	1
1520	1
1521	1
1522	1
1523	1
1524	1
1525	1
1526	1
1527	1
1528	1
1529	1
1530	1
1531	1
1532	1
1533	1
1534	1
1535	1
1536	1
1537	1
1538	1
1539	1
1540	1
1541	1
1542	1
1543	1
1544	1
1545	1
1546	1
1547	1
1548	1
1549	1
1550	1
1551	1
1552	1
1553	1
1554	1
1555	1
1556	1
1557	1
1558	1
1559	1
1560	1
1561	1
1562	1
1563	1
1564	1
1565	1
1566	1
1567	1
1568	1
1569	1
1570	1
1571	1
1572	1
1573	1
1574	1
1575	1
1576	1
1577	1
1578	1
1579	1
1580	1
1581	1
1582	1
1583	1
1584	1
1585	1
1586	1
1587	1
1631	1
1632	1
1633	1
1634	1
1635	1
1636	1
1637	1
1638	1
1639	1
1640	1
1641	1
1642	1
1643	1
1644	1
1645	1
1646	1
1647	1
1648	1
1649	1
1650	1
1651	1
1652	1
1653	1
1654	1
1655	1
1656	1
1657	1
1658	1
1659	1
1660	1
1661	1
1662	1
1663	1
1664	1
1665	1
1666	1
1667	1
1668	1
1669	1
1670	1
1671	1
1672	1
1673	1
1674	1
1675	1
1676	1
1677	1
1678	1
1679	1
1680	1
1681	1
1682	1
1683	1
1684	1
1685	1
1686	1
1687	1
1688	1
1689	1
1690	1
1691	1
1692	1
1693	1
1694	1
1695	1
1696	1
1697	1
1698	1
1699	1
1700	1
1701	1
1702	1
1703	1
1704	1
1705	1
1706	1
1707	1
1708	1
1709	1
1710	1
1711	1
1712	1
1713	1
1714	1
1715	1
1716	1
1717	1
1718	1
1719	1
1845	1
1846	1
1847	1
1848	1
1849	1
1850	1
1851	1
1852	1
1853	1
1854	1
1855	1
1856	1
1857	1
1858	1
1859	1
1860	1
1861	1
1862	1
1863	1
1864	1
1865	1
1866	1
1867	1
1868	1
1869	1
1870	1
1871	1
1872	1
1873	1
1874	1
1875	1
1876	1
1877	1
1878	1
1879	1
1880	1
1881	1
1882	1
1883	1
1884	1
1885	1
1886	2
1887	2
1888	2
1889	2
1890	2
1891	2
1892	2
1893	2
1894	2
1895	2
1896	2
1897	2
1898	3
1899	3
1900	3
1901	3
1902	3
1903	3
1904	3
1905	3
1906	3
1907	3
1908	3
1909	3
1910	3
1911	3
1912	5
1913	5
1914	6
1915	6
1916	6
1917	7
1918	7
1919	7
1920	7
1921	7
1922	8
1923	14
1924	15
1925	15
1926	15
1927	15
1928	16
1929	16
1930	16
1931	16
1932	16
1933	16
1934	16
1935	17
1936	17
1937	17
1938	17
1939	17
1940	17
1941	16
1942	9
1943	9
1944	9
1945	9
1946	9
1947	9
1948	10
1949	10
1950	10
1951	10
1952	10
1953	10
1954	10
1955	10
1956	10
1957	10
1958	10
1959	10
1960	10
1961	10
1962	10
1963	10
1964	10
1965	10
1966	10
1967	10
1968	10
1969	10
1970	10
1971	10
1972	9
1973	9
1974	9
1975	10
1976	14
1977	14
1978	14
1979	14
1980	14
1981	14
1982	14
1983	14
1984	14
1985	14
1986	19
1987	19
1988	19
1989	18
1990	18
1991	18
1992	18
1993	18
1994	18
1995	13
1996	13
1997	13
1998	13
1999	13
2000	13
2001	13
2002	8
2003	7
2004	7
2005	7
2006	7
2007	6
2008	5
2009	5
2010	5
2011	5
2012	5
2013	5
2014	5
2015	5
2016	4
2017	3
2018	3
Max number of alive people 19 were in 1986
